id_penjualan,id_pelanggan,id_produk,jumlah_terjual,harga_per_unit
J001,CUST001,P001,16,18.97
J002,CUST002,P002,45,22.04
J003,CUST003,P003,19,41.34
J004,CUST004,P004,33,15.12
J005,CUST005,P005,97,23.15
J006,CUST006,P006,87,15.10
J007,CUST007,P007,28,21.01
J008,CUST008,P008,71,28.93
J009,CUST009,P009,78,21.59
J010,CUST010,P010,13,10.54
J011,CUST011,P011,85,36.08
J012,CUST012,P012,47,36.75
J013,CUST013,P013,62,28.76
J014,CUST014,P014,74,16.84
J015,CUST015,P015,52,25.62
J016,CUST016,P016,89,12.07
J017,CUST017,P017,25,11.24
J018,CUST018,P018,93,14.13
J019,CUST019,P019,25,34.44
J020,CUST020,P020,34,47.49
